name,ngpus,TP,PP,EP,CP,DP,sub_seq_length,micro_batch_size,num_of_micro_batches,pipeline_parallelism_bubble_rate,data_parallel_sharding_strategy,total_memory_gb,model_and_optimizer_states_memory_gb,activations_memory_gb,cross_entropy_activation_memory_gb,practice_activations_memory_gb,expert_parameters_m,non_expert_parameters_m,expert_layers_activations_gb,practice_expert_layers_activations_gb,non_expert_layers_activations_gb,mlp_activation_mb,moe_activation_mb,token_imbalance_hypothesis
LLaMA-3.1 405B,8,1,2,1,1,4,8192,4,256.0,0.00390625,OPTIMIZER_STATES,3937.39453125,1700.89453125,2236.5,39.140625,2236.5,0.0,193524.0,0.0,0.0,2236.5,11008.0,1024.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,1,1024.0,0.0009765625,OPTIMIZER_STATES_AND_GRADS,1693.0546875,1133.9296875,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,2,512.0,0.001953125,OPTIMIZER_STATES_AND_GRADS,2252.1796875,1133.9296875,1118.25,19.5703125,1118.25,0.0,193524.0,0.0,0.0,1118.25,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,4,256.0,0.00390625,OPTIMIZER_STATES_AND_GRADS,3370.4296875,1133.9296875,2236.5,39.140625,2236.5,0.0,193524.0,0.0,0.0,2236.5,11008.0,1024.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,1,1024.0,0.0009765625,FULLY_SHARD,1315.078125,755.953125,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,2,512.0,0.001953125,FULLY_SHARD,1874.203125,755.953125,1118.25,19.5703125,1118.25,0.0,193524.0,0.0,0.0,1118.25,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,4,256.0,0.00390625,FULLY_SHARD,2992.453125,755.953125,2236.5,39.140625,2236.5,0.0,193524.0,0.0,0.0,2236.5,11008.0,1024.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,1,2048.0,0.00048828125,NO_OP,3681.3515625,3401.7890625,279.5625,4.892578125,279.5625,0.0,193524.0,0.0,0.0,279.5625,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,2,1024.0,0.0009765625,NO_OP,3960.9140625,3401.7890625,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,4,512.0,0.001953125,NO_OP,4520.0390625,3401.7890625,1118.25,19.5703125,1118.25,0.0,193524.0,0.0,0.0,1118.25,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,1,2048.0,0.00048828125,OPTIMIZER_STATES,2547.421875,2267.859375,279.5625,4.892578125,279.5625,0.0,193524.0,0.0,0.0,279.5625,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,2,1024.0,0.0009765625,OPTIMIZER_STATES,2826.984375,2267.859375,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,4,512.0,0.001953125,OPTIMIZER_STATES,3386.109375,2267.859375,1118.25,19.5703125,1118.25,0.0,193524.0,0.0,0.0,1118.25,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,1,2048.0,0.00048828125,OPTIMIZER_STATES_AND_GRADS,2169.4453125,1889.8828125,279.5625,4.892578125,279.5625,0.0,193524.0,0.0,0.0,279.5625,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,2,1024.0,0.0009765625,OPTIMIZER_STATES_AND_GRADS,2449.0078125,1889.8828125,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,4,512.0,0.001953125,OPTIMIZER_STATES_AND_GRADS,3008.1328125,1889.8828125,1118.25,19.5703125,1118.25,0.0,193524.0,0.0,0.0,1118.25,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,1,2048.0,0.00048828125,FULLY_SHARD,1791.46875,1511.90625,279.5625,4.892578125,279.5625,0.0,193524.0,0.0,0.0,279.5625,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,2,1024.0,0.0009765625,FULLY_SHARD,2071.03125,1511.90625,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,2,2,4096,4,512.0,0.001953125,FULLY_SHARD,2630.15625,1511.90625,1118.25,19.5703125,1118.25,0.0,193524.0,0.0,0.0,1118.25,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,1,4096.0,0.000244140625,NO_OP,3541.5703125,3401.7890625,139.78125,2.4462890625,139.78125,0.0,193524.0,0.0,0.0,139.78125,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,2,2048.0,0.00048828125,NO_OP,3681.3515625,3401.7890625,279.5625,4.892578125,279.5625,0.0,193524.0,0.0,0.0,279.5625,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,4,1024.0,0.0009765625,NO_OP,3960.9140625,3401.7890625,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,1,4096.0,0.000244140625,OPTIMIZER_STATES,3541.5703125,3401.7890625,139.78125,2.4462890625,139.78125,0.0,193524.0,0.0,0.0,139.78125,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,2,2048.0,0.00048828125,OPTIMIZER_STATES,3681.3515625,3401.7890625,279.5625,4.892578125,279.5625,0.0,193524.0,0.0,0.0,279.5625,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,4,1024.0,0.0009765625,OPTIMIZER_STATES,3960.9140625,3401.7890625,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,1,4096.0,0.000244140625,OPTIMIZER_STATES_AND_GRADS,3541.5703125,3401.7890625,139.78125,2.4462890625,139.78125,0.0,193524.0,0.0,0.0,139.78125,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,2,2048.0,0.00048828125,OPTIMIZER_STATES_AND_GRADS,3681.3515625,3401.7890625,279.5625,4.892578125,279.5625,0.0,193524.0,0.0,0.0,279.5625,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,4,1024.0,0.0009765625,OPTIMIZER_STATES_AND_GRADS,3960.9140625,3401.7890625,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,1,4096.0,0.000244140625,FULLY_SHARD,3163.59375,3023.8125,139.78125,2.4462890625,139.78125,0.0,193524.0,0.0,0.0,139.78125,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,2,2048.0,0.00048828125,FULLY_SHARD,3303.375,3023.8125,279.5625,4.892578125,279.5625,0.0,193524.0,0.0,0.0,279.5625,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,4,1,2048,4,1024.0,0.0009765625,FULLY_SHARD,3582.9375,3023.8125,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
